index,cell_type
cluster_48,Uncertain
cluster_92,Uncertain
cluster_110,Uncertain
cluster_0,Uncertain
cluster_80,Uncertain
cluster_47,Uncertain
cluster_40,Uncertain
cluster_79,Uncertain
cluster_91,Uncertain
cluster_41,Uncertain
cluster_62,Uncertain
cluster_78,Uncertain
cluster_42,WT
cluster_67,Uncertain
cluster_111,Uncertain
cluster_54,Uncertain
cluster_46,Uncertain
cluster_113,WT
cluster_49,Uncertain
cluster_56,Uncertain
cluster_100,Uncertain
cluster_22,Uncertain
cluster_58,Uncertain
cluster_86,Uncertain
cluster_68,Uncertain
cluster_37,Uncertain
cluster_89,Uncertain
cluster_57,Uncertain
cluster_108,Uncertain
cluster_9,WT
cluster_81,Uncertain
cluster_70,Uncertain
cluster_38,Uncertain
cluster_88,Uncertain
cluster_43,Uncertain
cluster_76,WT
cluster_73,WT
cluster_106,Uncertain
cluster_53,Uncertain
cluster_25,Uncertain
cluster_1,WT
cluster_77,WT
cluster_27,Uncertain
cluster_23,Uncertain
cluster_84,Uncertain
cluster_2,Uncertain
cluster_32,Uncertain
cluster_71,Uncertain
cluster_20,Uncertain
cluster_59,WT
cluster_28,WT
cluster_98,Uncertain
cluster_74,Uncertain
cluster_12,Uncertain
cluster_109,WT
cluster_61,Uncertain
cluster_50,WT
cluster_72,WT
cluster_19,Uncertain
cluster_36,Uncertain
cluster_99,Uncertain
cluster_51,Uncertain
cluster_31,Dhcr24TG
cluster_94,Uncertain
cluster_34,Uncertain
cluster_30,Uncertain
cluster_93,Uncertain
cluster_14,Uncertain
cluster_44,Uncertain
cluster_52,Uncertain
cluster_4,Uncertain
cluster_21,Dhcr24TG
cluster_65,Uncertain
cluster_87,Uncertain
cluster_104,Uncertain
cluster_6,Uncertain
cluster_55,Uncertain
cluster_5,Uncertain
cluster_45,Uncertain
cluster_112,Uncertain
cluster_35,Uncertain
cluster_16,Uncertain
cluster_63,Uncertain
cluster_97,Uncertain
cluster_82,Uncertain
cluster_95,Dhcr24TG
cluster_75,Uncertain
cluster_69,WT
cluster_107,Uncertain
cluster_64,Uncertain
cluster_26,Uncertain
cluster_101,Uncertain
cluster_29,Uncertain
cluster_66,Uncertain
cluster_103,Uncertain
cluster_24,Dhcr24TG
cluster_102,Uncertain
cluster_60,Uncertain
cluster_96,Dhcr24TG
cluster_15,Dhcr24TG
cluster_10,Dhcr24TG
cluster_33,Dhcr24TG
cluster_90,Dhcr24TG
cluster_105,Dhcr24TG
cluster_3,Dhcr24TG
cluster_13,Dhcr24TG
cluster_7,Dhcr24TG
cluster_18,Dhcr24TG
cluster_17,Dhcr24TG
cluster_8,Dhcr24TG
cluster_83,Dhcr24TG
cluster_85,Dhcr24TG
cluster_39,Dhcr24TG
cluster_11,Dhcr24TG
